...1,id,agency,allocation,title,brief_summary,status,PI,phase,study_type,primary_outcome_measure,acronym,start_date,completion_date,primary_completion_date,gender,minimum_age,maximum_age,number_of_arms,enrollment
37,NCT02657473,Medical Center Alkmaar,Randomized,Inhaled Nebulized Tobramycin in Non-cystic Fibrosis Bronchiectasis,"
      The purpose of this study is to evaluate the effect of tobramycin inhalation solution (TIS)
      once daily compared tot placebo in patients with non-CF bronchiectasis. The primary endpoint
      is a reduction of exacerbations of the disease during the treatment period. Next to this
      parameter the investigators expect to show a significant beneficial effect on lung function
      parameters, QoL, bacterial load of pathogens in sputum and tobramycin resistance.
",Completed,"Wim G. Boersma, Dr.MD",Phase 2/Phase 3,Interventional,Number of exacerbations,BATTLE,2016-08-13,2019-12-13,2019-12-13,All,18 Years,N/A,2,58
38,NCT02661438,Bayer,N/A,Summative Usability Study of Ciprofloxacin Dry Powder for Inhalation Using Placebo,"
      The rationale of this study is to conduct a summative (i.e., validation) usability test of
      Ciprofloxacin Dry Powder for Inhalation (DPI) and the associated Instructions for Use.
",Completed,Bayer Study Director,N/A,Interventional,NA,NA,2016-01-12,2016-03-17,2016-03-17,All,40 Years,N/A,1,46
39,NCT02712983,Novartis Pharmaceuticals,Randomized,"Dose-finding Study to Assess the Efficacy, Safety and Tolerability of Tobramycin Inhalation Powder in Patients With Non-Cystic Fibrosis Bronchiectasis and Pulmonary P. Aeruginosa Infection","
      The purpose of this study was to support the selection of a safe and tolerable tobramycin
      inhalation powder (TIP) dose, and regimen that exhibits effective bacterial reduction of P.
      aeruginosa in non-cystic fibrosis bronchiectasis (BE) patients with P. aeruginosa
      colonization.
",Completed,Novartis Pharma,Phase 2,Interventional,Change From Baseline to Day 29 in Pseudomonas Aeruginosa (P. Aeruginosa) Density in Sputum (log10 CFUs),iBEST-1,2017-02-08,2019-03-20,2019-03-20,All,18 Years,N/A,9,107
40,NCT02782312,"Shanghai Pulmonary Hospital, Shanghai, China",Randomized,Salmeterol-Fluticasone Combined Inhaled Therapy for Non-cystic Fibrosis Bronchiectasis,"
      The objective of this study is to assess the efficacy and safety of Salmeterol-Fluticasone
      （ICS and LABA）combined inhaled therapy for non-cystic fibrosis（non-CF）bronchiectasis patients
      with chronic airflow obstruction. Moreover, subgroup analysis is performed to explore which
      populations of bronchiectasis patients this treatment is suitable for.
",Completed,Jin-Fu Xu,Phase 4,Interventional,NA,NA,2011-06-01,2013-06-01,2012-06-01,All,18 Years,N/A,2,120
41,NCT02823587,University of Sao Paulo,Randomized,Pulmonary Rehabilitation in Non-Cystic Fibrosis Bronchiectasis,"
      The purpose of this study is to assess the effect of pulmonary rehabilitation on the
      transport of secretions, inflammation and respiratory resistance, and its repercussions on
      the quality of life in patients with bronchiectasis.
",Unknown status,"Ada C Gastaldi, PhD",N/A,Interventional,Mucociliary transport in vivo,NA,2016-07-01,2019-12-01,2018-07-01,All,18 Years,60 Years,4,60
42,NCT02883101,"All India Institute of Medical Sciences, New Delhi",Randomized,The Effects of Pulmonary Rehabilitation in Patients With Non-cystic Fibrosis Bronchiectasis,"
      Number of Patients:

      Study group - Bronchiectasis that is not attributable to Cystic fibrosis

        -  Group 1 - Pulmonary Rehabilitation

        -  Group 2 - Standard care

      Sample size - 20 in each arm

      Study Design:

        -  Randomised controlled trial (RCT)

      All patients who qualify for the study will undergo a detailed evaluation. Baseline
      assessment will include the following parameters:

        -  Anthropometry

        -  Pulmonary Function Tests and Respiratory muscle strength

        -  Cardiopulmonary Exercise Testing (CPET)

        -  Six Minute Walk Test (6MWT)

        -  Severity of dyspnoea (Dyspnoea scale)

        -  Limb muscle strength

        -  Inflammatory markers in the serum - C-reactive protein

        -  Quality of Life

      Patients will then be randomized (using table of random numbers) to either the pulmonary
      rehabilitation group or the standard arm group. After 8 weeks of pulmonary rehabilitation,
      patients will again be reassessed by the aforementioned tools.
",Completed,NA,N/A,Interventional,Exercise capacity,NA,2015-06-01,2016-12-01,2016-10-01,All,18 Years,N/A,2,60
43,NCT03056326,Chiesi Farmaceutici S.p.A.,Randomized,"A Study to Investigate Safety, Tolerability and Pharmacokinetics of Single and Repeat Doses of CHF6333 in Healthy Subjects","
      Human Neutrophil Elastase (HNE) plays a pivotal role in innate immunity and in neutrophilic
      lung inflammation that characterized many diseases. CHF 6333 is a potent and 24h-durable
      inhibitor of HNE, developed as Dry Powder Inhaler (DPI) formulation. This study is designed
      to investigate the tolerability, safety and pharmacokinetics of inhaled CHF6333 DPI in
      healthy male subjects.

      The study will comprise two parts:

      Part 1 will consist of two alternated cohorts of healthy male subjects to assess the safety,
      tolerability and pharmacokinetics of Single Ascending Dose (SAD) of CHF6333.

      Part 2 will consist of four sequential cohorts of healthy male subjects to assess the safety,
      tolerability and pharmacokinetics of Multiple Ascending Dose (MAD) of CHF6333
",Completed,Frédéric Vanhoutte,Phase 1,Interventional,NA,CHF6333 FIH,2016-11-01,2017-07-01,2017-07-01,Male,18 Years,55 Years,2,72
44,NCT03093974,Zambon SpA,Randomized,Long Term Efficacy and Safety of Inhaled Colistimethate Sodium in Bronchiectasis Subjects With Chronic Pseudomonas Aeruginosa Infection.,"
      The primary objective of the trial is to investigate the effect of the use of inhaled
      colistimethate sodium, administered twice daily via the I-neb for 12 months, compared to
      placebo in subjects with non-cystic fibrosis bronchiectasis (NCFB) chronically infected with
      P. aeruginosa on the frequency of pulmonary exacerbations.
",Completed,"Dearbhla Hull, MD",Phase 3,Interventional,Annualized Pulmonary Exacerbation rate,PROMIS-I,2017-06-06,2021-04-09,2021-04-09,All,18 Years,N/A,2,377
45,NCT03147651,Rambam Health Care Campus,NA,Exercise Capacity in Patients With Cystic Fibrosis vs. Non-cystic Fibrosis Bronchiectasis,"
      Introduction: Bronchiectasis is a chronic lung disease in which the underlying condition
      causes permanent damage to the conducting airways. Bronchiectasis is associated with
      considerable morbidity and poor quality of life. While cystic fibrosis (CF) is the most
      common cause of bronchiectasis in childhood, non-CF bronchiectasis is associated with a wide
      variety of disorders. CF bronchiectasis patients show reduced daily habitual physical
      activity and exercise capacity. Cardiopulmonary exercise test (CPET) is increasingly gaining
      importance in clinical medicine and considered the gold standard exercise test for assessing
      aerobic exercise capacity. The test objectively evaluates exercise physiological functions,
      may help assess morbidity and predict the outcome and mortality in different clinical
      circumstances and may serve as a basis for individualized exercise prescription within the
      limitation of the disease. Unlike CPET in CF, there is a paucity of data on exercise capacity
      using CPET in non- CF bronchiectasis patients, and on the implications of physical activity
      on non- CF bronchiectasis morbidity and mortality.

      Aim: To evaluate and compare exercise capacity in CF and non-CF bronchiectasis patients.

      Methods: This will be a cross-sectional retrospective/prospective study population. The
      retrospective study will include data analysis of patients that preformed CPET as part of
      their clinical evaluation. In the prospective study, patients that are scheduled to perform
      CPET as part of their clinical evaluation will sign (or legal guardian) informed consent
      prior to participation. Patients will be recruited from the exercise clinic at the Pediatric
      Pulmonary Institute at the Rappaport Children's Hospital. Inclusion criteria: 1. Children and
      adults (age >7 years, height >125cm), with CF and non CF bronchiectasis. 2. Completed a
      maximal CPET test according to accepted criteria; (maximal VO2 > 80% predicted, maximal heart
      rate > 80% predicted, acceptable RER (RER > 1.0 in children (under 18 years), RER > 1.05 for
      adults) or reaching a VO2 plateau..3. Evidence of bronchiectasis in computed tomography (CT).

      Exclusions criteria: preforming submaximal CPET, lack of data from the exercise test,
      exacerbation of patient's condition within three days before the exercise evaluation,
      relevant related chronic diseases that affecting test results.
",Unknown status,"Lea Bentur, Prof.",NA,Observational,Oxygen Uptake (VO2),NA,2015-10-01,2017-12-01,2017-09-01,All,7 Years,N/A,NA,119
46,NCT03218917,Insmed Incorporated,Randomized,Assessment of INS1007 in Subjects With Non-Cystic Fibrosis Bronchiectasis,"
      The purpose of the study is to evaluate if INS1007 can reduce pulmonary exacerbations over a
      24-week treatment period in patients with non-cystic fibrosis bronchiectasis.
",Completed,"Carlos Fernandez, MD",Phase 2,Interventional,Time to first pulmonary exacerbation,NA,2017-12-01,2019-12-12,2019-12-12,All,18 Years,85 Years,3,256
47,NCT03428334,The University of Hong Kong,N/A,Roflumilast in Non-CF Bronchiectasis Study,"
      This is a single-arm, open label, Phase II study of Roflumilast in stable-state non-cystic
      fibrosis bronchiectasis subjects.

      Bronchiectasis refers to a suppurative lung condition characterized by pathological
      dilatation of bronchi. The predominant aetiology of bronchiectasis in the Western population
      is related to cystic fibrosis (CF), which is genetically determined. Bronchiectasis due to
      other causes are generally grouped under the term ""non-CF bronchiectasis"", which accounts for
      practically all cases that are seen commonly in Hong Kong and many other Chinese populations.

      The main pathogenesis of non-CF bronchiectasis involves airway inflammation, abnormal mucus
      clearance and bacterial colonization, resulting in progressive airway destruction and
      distortion. The current treatment strategies mainly focus on targeting the key elements in
      the pathogenesis of non-CF bronchiectasis.

      In patients with bronchiectasis, there is also neutrophilic inflammation as in COPD. It is
      hypothesized that roflumilast can improve airway inflammation, sputum volume and sputum
      inflammatory markers in patients with bronchiectasis.

      This study aims to investigate the effect of short-term (4-week) treatment with roflumilast
      on neutrophilic airway inflammation in stable-state non-CF bronchiectasis.
",Completed,"James CM Ho, MD",Phase 2,Interventional,sputum leukocyte density,NA,2018-05-10,2019-08-31,2019-08-31,All,18 Years,N/A,1,20
48,NCT03460704,Zambon SpA,Randomized,Trial in Non-cystic Fibrosis Bronchiectasis Patients With Chronic Lung Infections Treated With Colistimethate Sodium (PROMIS II),"
      The primary objective of the trial is to investigate the effect of the use of inhaled
      colistimethate sodium, administered twice daily via the I-neb for 12 months, compared to
      placebo in subjects with non-cystic fibrosis bronchiectasis (NCFB) chronically infected with
      P. aeruginosa on the frequency of pulmonary exacerbations.
",Completed,"Dearbhla Hull, MD",Phase 3,Interventional,Annualized Pulmonary Exacerbation rate,NA,2018-01-29,2022-03-15,2022-03-15,All,18 Years,90 Years,2,287
49,NCT03818646,Papworth Hospital NHS Foundation Trust,NA,Functional Respiratory Imaging in Bronchiectasis,"
      Four-week prospective single centre exploratory study in adults with bronchiectasis suffering
      a pulmonary exacerbation (defined as a change in one or more of the following: cough; sputum
      amount; sputum colour; breathlessness; fevers; and malaise).

      The study will recruit ten adult subjects (male and female) who attend the Cambridge Centre
      for Lung Infection (CCLI) at the Royal Papworth Hospital, Cambridge, United Kingdom. The
      study will include individuals with a known diagnosis of bronchiectasis suffering a current
      pulmonary exacerbation. Participants seen during their usual clinic review with an
      exacerbation will be invited to participate and enrolled to commence the study that same day
      (day 0). Participants enrolled will undergo clinical review and a series of standard-of-care
      testing including sputum culture, lung function tests and blood analysis. Additional to these
      standard investigations, participants will also undertake a series of patient reported
      outcomes via validated respiratory questionnaires (Quality of Life - Bronchiectasis - QOL-B;
      & Leicester Cough Questionnaire - LCQ) and functional respiratory imaging (FRI). FRI consists
      of low dose high-resolution CT at full inspiration and expiration, combined with
      computational fluid dynamic testing.

      Participants will be treated without delay according to standard of care treatment as per
      current international guidelines. Participants may be treated as either an inpatient or
      outpatient determined by the treating respiratory physician.

      Follow up will occur on day 7, 14 and 28 post enrolment with serial CT imaging on days 0, 14
      and 28. No scheduled follow up testing will be required beyond the day 28 visit, however all
      participants will receive a follow-up phone call at day 35.

      The investigators hypothesize that changes in FRI parameters will be seen pre and post
      exacerbation treatment and will correlate with changes in lung function and patient reported
      outcomes. This will confirm FRI as a surrogate biomarker for assessing therapeutic response
      in future clinical trials in bronchiectasis.
",Unknown status,"Ian Smith, MD",NA,Observational,NA,FRIBE,2019-01-01,2019-04-01,2019-04-01,All,18 Years,80 Years,NA,10
50,NCT03988816,University of Sao Paulo General Hospital,Randomized,"Effect of Roflumilast on Quality of Life, Lung Function and Mucus Properties in Patients With Bronchiectasis","
      Although relatively common, bronchiectasis is considered an orphan disease as there is little
      evidence for adequate treatment, most of the therapeutic options are extrapolated from
      studies with patients with chronic obstructive pulmonary disease (COPD) or cystic fibrosis
      (CF). Inhaled bronchodilators and corticosteroids should be used as a therapeutic test and
      maintained if there is improvement of symptoms or lung function. There is no evidence to
      justify the use of mucolytic agents for these patients. The treatment with greater evidence
      is the use of macrolides, especially azithromycin. A meta-analysis published in 2014 showed
      that there was a reduction in the number of exacerbations, an improvement in the quality of
      life and a reduction in the decrease in FEV1. However, studies have shown conflicting results
      regarding quality of life and pulmonary function.

      Roflumilast is a phosphodiesterase-4 inhibitor with an anti-inflammatory effect in vitro and
      in vivo due to the inhibition of cyclic adenosine monopostat breakdown (cAMP) to its inactive
      phosphodiesterase form. As this enzyme is expressed in high concentrations in leukocytes and
      other inflammatory cells responsible for the pathogenesis of pulmonary diseases such as COPD,
      it has been studied and used for this disease. COPD is characterized by a chronic
      inflammatory process of the airways, predominantly neutrophils and high levels of
      proinflammatory cytokines related to this cell, such as interleukin-8, neutrophil elastase,
      tumor necrosis factor (TNF) alpha and E-selectin. The REACT study showed that roflumilast
      prevents moderate and severe infectious exacerbations in addition to improved lung function
      in patients with COPD who continue to exacerbate despite the use of combined bronchodilator
      and inhaled corticosteroid therapy.

      Since bronchiectasis and COPD are chronic inflammatory diseases, they present similar
      inflammatory processes, with neutrophil as the main inflammatory cell, it is expected that
      the use of roflumilast also has an anti-inflammatory effect in bronchiectasis. In addition,
      since bronchiectasis is a disease with poor evidence for pharmacological treatment, it is
      necessary to search for new therapeutic possibilities.
",Unknown status,"Rodrigo A Athanazio, MD, PhD",Phase 2,Interventional,Quality of life questionnaire,NA,2019-12-06,2020-12-01,2020-12-01,All,18 Years,N/A,2,30
51,NCT04010799,Chiesi Farmaceutici S.p.A.,Randomized,"A Clinical Study to Investigate Safety, Tolerability and Distribution of CHF 6333 After One or After Repeated Inhalation in Patients With Cystic Fibrosis (CF) and in Patients With Non Cystic Fibrosis (NCFB) Bronchiectasis","
      CHF 6333 is a medicinal product on development for the treatment of cystic fibrosis and
      non-CF bronchiectasis and undergoing clinical testing. It has not yet been approved by the
      authorities for the treatment of these diseases.

      CHF6333 is an inhaled anti-inflammatory which mechanism of action is based on the inhibition
      of Human Neutrofil Elastase.

      The safety and tolerability of single and repeated ascending doses of inhaled CHF 6333 was
      previously investigated in healthy subjects: information was gathered on the uptake,
      distribution and excretion of the medicinal product being tested (pharmacokinetics). In this
      current clinical trial CHF 6333 will be tested in patients(CF and NCFB) for the first time.

      Three dose level will be tested during the first part of the study, as single administration.
      One repeated dose will be administered in the second part of the study.
",Completed,NA,Phase 1,Interventional,NA,NA,2019-05-27,2021-03-08,2021-03-08,All,18 Years,N/A,2,68
52,NCT04017312,Hill-Rom,Randomized,A Pilot Study to Evaluate the Use of the Vest® System for Treatment of Bronchiectasis Patients in the Home Setting,"
      This a 70 patient multi-site non blinded randomized control trial evaluating the use of the
      Vest® System for treatment of Non-Cystic Fibrosis Bronchiectasis (NCFBE) patients in the home
      setting. The study will assess outcomes in subjects requiring airway clearance therapy
      randomized to Oscillating Positive Expiratory Pressure (OPEP) therapy as the control group
      and High Frequency Chest Wall Oscillation (HFCWO) therapy as the intervention group
",Unknown status,"Mark Jennings, MD",N/A,Interventional,Frequency of acute exacerbations of bronchiectasis,NA,2019-08-23,2020-11-01,2020-11-01,All,18 Years,80 Years,2,70
53,NCT04090294,Assiut University,N/A,Assessment of Early Outcomes of Roflumilast in Patients With Non Cystic Fibrosis Bronchiectasis,"
      Aim of the work

      Assessment of early outcome of using Roflumilast in patients with bronchiectasis regarding:

        -  Severity of symptoms

        -  Frequency of exacerbations

        -  Change in pulmonary function

        -  Systemic inflammation
",Unknown status,"Ahmad Shaddad, Lecturer",Early Phase 1,Interventional,NA,NA,2019-10-01,2020-11-01,2020-09-01,All,18 Years,75 Years,1,35
54,NCT04122547,Prince of Songkla University,Randomized,Efficacy of Roflumilast on Exacerbations in Patients With Non-cystic Fibrosis Bronchiectasis,"
      Roflumilast compare with placebo for decrease infected exacerbation in non-cystic
      Bronchiectasis
",Completed,"Kanung Saejiam, MS",Phase 3,Interventional,acute deterioration of of bronchiectasis symptoms,NA,2015-01-01,2015-12-01,2015-12-01,All,18 Years,80 Years,2,40
55,NCT04170114,Bezmialem Vakif University,Randomized,Comparison of the Efficacy of Comprehensive Respiratory Physiotherapy in Children With Cystic Fibrosis and Non-Cystic Fibrosis Bronchiectasis,"
      The effect of comprehensive respiratory physiotherapy applications on respiratory function,
      functional capacity and peripheral muscle strength in children with cystic fibrosis and
      non-cystic fibrosis will be compared.
",Completed,NA,N/A,Interventional,NA,NA,2020-01-01,2020-11-01,2020-11-01,All,6 Years,18 Years,2,60
56,NCT04278040,"Federal State Budgetary Institution, Pulmonology Scientific Research Institute",N/A,Inhalations of Ultra-low Doses of Melphalan for the Treatment of Non-cystic Fibrosis Bronchiectasis,"
      This non-randomised open-label prospective pilot study evaluates the safety and efficacy of
      inhalations of ultra-low doses of alkylating drug melphalan for the treatment of non-cystic
      fibrosis bronchiectasis. All patients will receive 0,1 mg of melphalan in 5 daily inhalations
      1 time per day.
",Unknown status,"Kirill Zykov, Prof",Phase 2,Interventional,Frequency of drug-related side effects.,SEADIB1,2018-06-20,2021-12-30,2021-12-01,All,18 Years,70 Years,1,7
57,NCT04322929,The University of Hong Kong,N/A,Roflumilast in Non-CF Bronchiectasis Study (2019),"
      This is a single-arm, open label, Phase II study of 12-week use of Roflumilast in
      stable-state non-cystic fibrosis bronchiectasis subjects.

      Bronchiectasis refers to a suppurative lung condition characterized by pathological
      dilatation of bronchi. The predominant aetiology of bronchiectasis in the Western population
      is related to cystic fibrosis (CF), which is genetically determined. Bronchiectasis due to
      other causes are generally grouped under the term ""non-CF bronchiectasis"", which accounts for
      practically all cases that are seen commonly in Hong Kong and many other Chinese populations.

      The main pathogenesis of non-CF bronchiectasis involves airway inflammation, abnormal mucus
      clearance and bacterial colonization, resulting in progressive airway destruction and
      distortion. This destructive process perpetuates in a vicious circle even when the initial
      insult has subsided, which is commonly due to an infective process like tuberculosis in Hong
      Kong. Patients with extensive bronchiectasis present with chronic cough, copious purulent
      sputum, haemoptysis, progressive lung function loss, and episodes of infective exacerbations.

      The current treatment strategies mainly focus on targeting the key elements in the
      pathogenesis of non-CF bronchiectasis. Apart from regular chest physiotherapy and postural
      drainage to help clearing mucus from bronchiectatic airways, inhalational and parenteral
      antibiotics have also been used to reduce the bacterial load in destroyed airways, thus
      controlling and preventing infective exacerbations. In recent years, accumulated evidence has
      suggested a central role of airway inflammation and immune dysregulation in the evolution of
      non-CF bronchiectasis.

      Chronic obstructive pulmonary disease (COPD) is a progressive destructive process on exposure
      to noxious environmental agents (e.g. tobacco smoke) that affects both the airways (chronic
      bronchitis) and lung parenchyma (emphysema), leading to loss of lung function and exercise
      capacity. Both COPD and bronchiectasis share similarities in clinical presentation and
      pathogenetic mechanisms. Neutrophilic inflammation and bacterial colonization are also the
      cornerstone in the airways of patients with COPD. Roflumilast, a phosphodiesterase 4 (PDE4)
      inhibitor, has demonstrated anti-inflammatory activity in COPD resulting in reduction in
      exacerbation frequency. This is the first-in-class and the only one clinically available PDE4
      inhibitor that is approved worldwide (including Hong Kong) for treatment of severe COPD with
      frequent exacerbations.

      At the time of writing, the exact role and clinical evidence for roflumilast in dampening
      airway inflammation in non-CF bronchiectasis is still lacking. Given the common pathogenetic
      mechanism via neutrophilic inflammation between non-CF bronchiectasis and COPD, as well as
      the robust clinical activity of roflumilast in COPD, this study is designed to provide
      initial scientific evidence on the activity of roflumilast on neutrophilic airway
      inflammation in patients with stable-state non-CF bronchiectasis.

      This study aims to investigate the effect of 12-week treatment with roflumilast on
      neutrophilic airway inflammation in stable-state non-CF bronchiectasis.
",Recruiting,NA,Phase 2,Interventional,24-hour sputum volume,NA,2020-11-12,2022-06-30,2022-02-28,All,18 Years,N/A,1,27
58,NCT04509661,"Shanghai Pulmonary Hospital, Shanghai, China",Randomized,Efficacy and Safety of Inhaled Bronchodilator in Non-CF Bronchiectasis With Airflow Limitation,"
      Airflow limitation is common exist in idiopathic bronchiectasis patients. However, there are
      few evidence on the treatment of bronchodilator in bronchiectasis with airflow limitation.
      The efficacy and safety of dual bronchodilator in idiopathic bronchiectasis with airflow
      limitation are still unclear. Thus, the investigators conduct a multicenter, open-label
      randomized controlled trial to investigate the efficacy and safety of dual bronchodilator in
      idiopathic bronchiectasis with airflow limitation.
",Not yet recruiting,"Jin-fu Xu, MD",Phase 4,Interventional,Actue exacerbation,NA,2020-09-01,2024-06-01,2024-06-01,All,18 Years,N/A,2,200
59,NCT04538859,Chinese University of Hong Kong,NA,A Prospective Study of Factors Related to Exacerbation and Mortality of Non-cystic Fibrosis Bronchiectasis in Hong Kong,"
      Bronchiectasis is associated with repeated exacerbations which occurs at rates of 1.5-6.5 per
      patients per year, and are associated with an increased risk of admission and readmission to
      hospital, and high health care costs. In a local study carried out more than 10 years ago,
      idiopathic disease dominates and patients with bronchiectasis are mainly female with high
      hospitalization and mortality rates; 21.9 cases per 100,000 and 2.7 cases per 100,000
      respectively. Moreover, exacerbation characterized by increases in symptoms requiring
      antibiotic treatment is associated with disease progression and significant mortality.
      Updated prevalence of this disease with the characteristics of etiology, clinical
      presentation and outcomes are needed to guide further management plan.
",Recruiting,NA,NA,Observational [Patient Registry],Number of bronchiectasis exacerbation,NA,2020-08-30,2027-08-29,2027-08-29,All,18 Years,N/A,NA,400
60,NCT04594369,Insmed Incorporated,Randomized,"A Study to Assess the Efficacy, Safety, and Tolerability of Brensocatib in Participants With Non-Cystic Fibrosis Bronchiectasis","
      The primary objective of this study is to evaluate the effect of brensocatib at 10 mg and 25
      mg compared with placebo on the rate of pulmonary exacerbations (PEs) over the 52-week
      treatment period.
",Recruiting,NA,Phase 3,Interventional,Rate of Adjudicated Pulmonary Exacerbations (PEs),ASPEN,2020-12-01,2024-03-22,2024-03-22,All,12 Years,85 Years,3,1620
61,NCT04643587,CSL Behring,Randomized,Study to Assess CSL787 in Non-cystic Fibrosis Bronchiectasis (NCFB),"
      This study is a prospective, multicenter, randomized, double-blind, placebo-controlled study
      to investigate the safety, tolerability, pharmacokinetics (PK), pharmacodynamics (PD) and
      exploratory efficacy of nebulized CSL787 after administrations of single (SAD) ascending
      doses in healthy subjects and multiple (MAD) ascending doses in subjects with NCFB.
",Recruiting,Study Director,Phase 1,Interventional,NA,NA,2020-12-07,2022-11-01,2022-11-01,All,18 Years,N/A,8,64
62,NCT04656275,Boehringer Ingelheim,Randomized,A Study in Patients With Non-cystic Fibrosis Bronchiectasis to Test How Well Different Doses of BI 1323495 Are Tolerated and How BI 1323495 Affects Biomarkers of Inflammation,"
      This study is open to adults with non-cystic fibrosis bronchiectasis. The main purpose of
      this study is to find out how a medicine called BI 1323495 is tolerated by people with
      non-cystic bronchiectasis.

      The study tests 2 different doses of BI 1323495. Some of the participants get placebo. It is
      decided by chance who gets BI 1323495 and who gets placebo. Participants take BI 1323495 or
      placebo as tablets twice a day for 3 months. Placebo tablets look like BI 1323495 tablets but
      do not contain any medicine. Participants can also continue taking standard medicines for
      noncystic bronchiectasis throughout the study.

      Participants are in the study for about 4 months. During this time, the participants visit
      the study site about 11 times and get about 2 phone calls. At the visits, doctors check the
      health of the participants and note any health problems that could have been caused by BI
      1323495.
",Terminated,NA,Phase 1,Interventional,Occurrence of drug-related adverse events,NA,2021-03-04,2021-12-20,2021-12-20,All,18 Years,80 Years,3,7
63,NCT04658277,Chinese University of Hong Kong,Randomized,Effect of Long Term Clarithromycin for Prevention of Exacerbations in Non-cystic Fibrosis Bronchiectasis in Asian Populations,"
      clarithromycin may reduce the exacerbations in middle-aged and elderly patients with non-CF
      bronchiectasis.

      The study is aimed to (A) investigate the etiologies and clinical features of patients with
      bronchiectasis, (B) compare the effect of clarithromycin 250mg daily on the frequency of
      exacerbations, quality of life and lung function, stratified according to the degree of
      bronchiectasis severity.
",Recruiting,NA,N/A,Interventional,number of infectious exacerbations,NA,2020-10-01,2023-09-30,2023-09-30,All,50 Years,N/A,2,40
64,NCT04884308,Johns Hopkins University,Non-Randomized,Bacille Calmette-Guerin (BCG) Vaccine for Immune Protection Against Infections,"
      This is pilot study of the immunologic effects of intradermal Bacille Calmette-Guerin (BCG)
      vaccination of adults with cystic fibrosis (CF), non-CF bronchiectasis (NCFB), and healthy
      volunteers.
",Recruiting,"Noah Lecthzin, MD, MHS",Phase 2,Interventional,BCG Uptake,NA,2021-04-28,2023-06-30,2023-06-30,All,18 Years,65 Years,3,180
65,NCT05006573,AstraZeneca,Randomized,Efficacy and Safety of Benralizumab in Patients With Non-cystic Fibrosis Bronchiectasis,"
      This is a multicentre, randomised, double-blind, parallel-group, placebo-controlled, 52 week
      Phase III study to test the hypothesis that benralizumab will reduce exacerbation rates
      compared with placebo on top of standard-of-care therapy in adult patients with non-cystic
      fibrosis bronchiectasis with eosinophilic inflammation (NCFB+EI).

      All patients who complete the 52-week double-blind treatment period on investigational
      product (IP) may be eligible to continue into an open-label extension (OLE), during which all
      patients will receive benralizumab.

      The OLE treatment period is intended to allow patients at least one year of treatment with
      open label benralizumab.
",Recruiting,"James D. Chalmers, MD",Phase 3,Interventional,Annualised exacerbation rate,MAHALE,2021-07-21,2026-01-05,2024-06-10,All,18 Years,130 Years,2,420
66,NCT05344508,Insmed Incorporated,NA,An Expanded Access Study to Assess Brensocatib for Participants With Non-Cystic Fibrosis Bronchiectasis,"
      The purpose of this study is to allow early access to brensocatib for participants with
      non-cystic fibrosis bronchiectasis (NCFBE) who have successfully completed the INS1007301
      ASPEN Clinical trial.
",Available,NA,NA,Expanded Access,NA,NA,NA,NA,NA,All,18 Years,85 Years,NA,NA
67,NCT05369624,Hospital Universitario Virgen Macarena,Randomized,Exercise Capacity in Non-cystic Fibrosis Bronchiectasis After a Pulmonary Rehabilitation Home-based Program,"
      A number of studies have described low exercise capacity and physical activity in patients
      with non-cystic fibrosis bronchiectasis (non-CF Bronchiectasis), although little research
      exists on using the cardiopulmonary exercise test (CPET) to evaluate exercise capacity and
      its most relevant changes after a pulmonary rehabilitation home-based program (PRHP). In
      addition, few studies have addressed tolerance to exercise and physical activity in severe
      cases of the disease.

      Aims:

      To evaluate the exercise capacity of non-CF BQ patients using CPET and physical activity
      after a pulmonary rehabilitation home-based program.

      Methodology:

      Our study describes a non-pharmacological clinical trial in non-CF BQ patients at the Virgen
      Macarena University Hospital (Seville, Spain). The patients were randomized into two groups:
      the control group (who were provided with training instructions) and the intervention group
      (who took part in a specific pulmonary rehabilitation home-based program).
",Completed,"Virginia Almadana, PhD",N/A,Interventional,"Exercise capacity of Non-cystic Fibrosis Bronchiectasis ( Non-CF bronchiectasis) after pulmonary rehabilitation home-based program (PRHP). Change in VO2 (oxygen consumption, ml/min)",NA,2018-05-08,2020-03-14,2019-03-14,All,18 Years,N/A,2,34
