,id,agency,allocation,title,brief_summary,ie,status,PI,phase,study_type,primary_outcome_measure,acronym,start_date,completion_date,primary_completion_date,gender,minimum_age,maximum_age,number_of_arms,enrollment
22,NCT02035488,University Medical Center Groningen,N/A,Pharmacokinetic Evaluation and Tolerability of Dry Powder Tobramycin by a Novel Device in Patients With Non Cystic Fibrosis Bronchiectasis,"
      Bronchiectasis is a persistent and frequently progressive condition characterized by dilated
      and thick-walled bronchi retaining sputum. The main symptoms of bronchiectasis are cough and
      chronic sputum production. Until now, most patients with non-CF bronchiectasis receive
      inhaled tobramycin every other month, by use of a nebulizer. However, this delivery system
      has several disadvantages, like a low lung deposition and pollution with tobramycin in the
      surrounding environment. With an efficient dry powder inhaler (DPI), a three to six fold
      higher lung deposition compared to a nebulizer can be obtained. Therapy with a DPI is also
      less time consuming compared to nebulisation. We will investigate dry powder tobramycin (DP
      tobramycin) in a novel device in patients with non-CF bronchiectasis. The main objectives of
      this study are to investigate the pharmacokinetic properties of DP tobramycin at different
      dosages together with the local tolerability of DP tobramycin via the Cyclops® at different
      dosages.
    ","
        Inclusion criteria:

          -  Age 18 years or older

          -  Obtained informed consent

          -  Patients having bronchiectasis (confirmed with HR-CT of the chest)

        Exclusion criteria:

          -  Pregnant or breast feeding

          -  Subjects with known or suspected renal, auditory, vestibular or neuromuscular
             dysfunction, or with severe, active haemoptysis,

          -  History of adverse events on previous tobramycin or other aminoglycoside use

          -  No concurrent use of cyclosporin, cisplatin, amfotericin B, cephalosporins,
             polymyxins, vancomycin and NSAIDs.
      ",Completed,"Huib Kerstjens, MD, PhD",Phase 1/Phase 2,Interventional,,,October 2013,December 2014,December 2014,All,18 Years,N/A,1,8
23,NCT02081963,Qilu Hospital of Shandong University,Randomized,Combined Administration of Nebulized Amikacin in Patients With Acute Exacerbation of Non-Cystic Fibrosis Bronchiectasis,"
      This is a multi-centered, randomized, controlled study to assess the efficacy, indications
      and adverse reactions of combined administration of nebulized amikacin in patients with acute
      exacerbation of non-cystic fibrosis bronchiectasis and to evaluate whether inhaled
      antibiotics are more likely to cause bacterial resistance.
    ","
        Inclusion Criteria:

          -  Male or female study subjects ≥18 years of age and ≤80 years of age;

          -  Confirmed diagnosis of idiopathic bronchiectasis or postinfectious bronchiectasis;

          -  Confirmation of infection with Pseudomonas aeruginosa at screening;

          -  Are sensitive to amikacin;

          -  Acute exacerbation of bronchiectasis.

        Exclusion Criteria:

          -  Bronchiectasis due to special causes;

          -  Smokers;

          -  Are associated with bronchial asthma;

          -  Have any serious or active medical or psychiatric illness;

          -  Be allergic to amikacin or not tolerant to nebulised amikacin(FEV1 reduces ≥15% after
             inhaling amikacin.
      ",Completed,"Yu Li, Professor",Phase 4,Interventional,Bacterial Clearance Rate of Sputum,,March 2014,December 2016,March 2016,All,18 Years,80 Years,2,178
24,NCT02088216,Qilu Hospital of Shandong University,Randomized,"Effect of Long-term, High-dose N-acetylcysteine on Exacerbations of Bronchiectaisis","
      Objective: To evaluate whether long-term oral N-acetylcysteine as an expectorant drug can
      reduce the frequency of acute exacerbations of patients with non-cystic fibrosis
      bronchiectasis and improve their quality of life.

      Methods: Patients with non-cystic fibrosis bronchiectasis will be randomly assigned to the
      observer group (participants receive 600 mg of oral N-acetylcysteine BID for 12 months) or
      the control group (participants receive oral tablet BID for 12 months). The primary endpoint
      was the frequency of acute exacerbations.

      Expected results: Compared with the control group, the frequency of acute exacerbations of
      the observer Group will decrease significantly.

      Hypothesis: Long-term oral N-acetylcysteine can reduce the frequency of acute exacerbations
      of patients with non-cystic fibrosis bronchiectasis and improve their quality of life.
    ","
        Inclusion Criteria:

          1. subjects were aged 18-80 years old;

          2. a diagnosis of idiopathic or post-infective bronchiectasis was made;

          3. patients had at least two exacerbations in the past year and were in a stable state
             for at least 4 weeks prior to the primary enrollment.

        Exclusion Criteria:

        Patients were excluded if they fulfilled any of the following criteria: current smokers;
        cigarette smoking within 6 months; cystic fibrosis or other etiologies (such as
        immunodeficiency, allergic bronchopulmonary aspergillosis, traction bronchiectasis caused
        by emphysema, advanced pulmonary fibrosis, etc.); pulmonary function test results showing a
        forced expiratory volume in 1 s (FEV1) ≤ 30% of the predicted value; a history of severe
        cardiovascular or neurological disease; comorbidity with liver disease, kidney disease,
        malignant tumor, gastric ulcer, or intestinal malabsorption; a known allergy to
        N-acetylcysteine; pregnancy or lactation (for women); a history of prior macrolide use of
        more than 1 week; and poor compliance.
      ",Completed,"Yu Li, Professor",N/A,Interventional,Median Number of Exacerbations,BENE,"April 1, 2014","March 30, 2018","December 1, 2017",All,18 Years,80 Years,2,161
25,NCT02096315,Polyphor Ltd.,N/A,"Safety, Efficacy and PK/PD of POL7080 in Patients With Exacerbation of Non-cystic Fibrosis Bronchiectasis.","
      To test whether POL7080 is effective in patients with exacerbation of non-cystic fibrosis
      bronchiectasis caused by Pseudomonas aeruginosa infection.
    ","
        Inclusion Criteria:

          1. Male and female aged ≥18 to <80 years and suffering from exacerbation of non-cystic
             fibrosis bronchiectasis due to Pseudomonas aeruginosa infection

          2. Sputum sample collected for culture before starting treatment

        Exclusion Criteria:

          1. Female patients who are pregnant or breast feeding or unwilling to follow reliable
             method of contraception

          2. Subjects suffering from cystic fibrosis, active pulmonary mycobacterial infection, end
             stage chronic obstructive pulmonary disease on long term oxygen therapy, severe
             uncontrolled asthma, active sarcoidosis and active allergic broncho-pulmonary
             aspergillosis

          3. Current exacerbation of bronchiectasis is associated with lung abscess or empyema

          4. Current exacerbation episode is suspected or documented to be due to pathogens other
             than Pseudomonas aeruginosa

          5. Patients with known HIV infection with CD4+ (cluster of differentiation 4) cell count
             < 200/mm3

          6. Patients who are currently enrolled in, or have not yet completed at least 30 days
             since ending another investigational device or drug trial or are receiving other
             investigational agent
      ",Terminated,,Phase 2,Interventional,Sputum bacterial clearance,,December 2013,November 2015,November 2015,All,18 Years,79 Years,1,20
26,NCT02104245,Aradigm Corporation,Randomized,Phase 3 Study With Ciprofloxacin Dispersion for Inhalation in Non-CF Bronchiectasis (ORBIT-4),"
      This study (ARD-3150-1202, ORBIT-4) will evaluate the safety and efficacy of inhaled
      Pulmaquin (ciprofloxacin dispersion for inhalation) compared to inhaled placebo in subjects
      who have a confirmed diagnosis of non-cystic fibrosis (non-CF) bronchiectasis with a history
      of pulmonary exacerbations and chronic P. aeruginosa infections.
    ","
        Inclusion Criteria:

          -  Confirmed diagnosis of non-CF bronchiectasis

          -  History of P. aeruginosa respiratory infections

          -  At least two pulmonary exacerbations treated with antibiotics in the previous year

        Exclusion Criteria:

          -  Have a clinical diagnosis of CF

          -  Are pregnant
      ",Completed,,Phase 3,Interventional,Time to first pulmonary exacerbation (from baseline),,"May 28, 2014",October 2016,"August 11, 2016",All,18 Years,N/A,2,304
27,NCT02106832,Bayer,Randomized,Ciprofloxacin Dry Powder for Inhalation (DPI) in Non-cystic Fibrosis Bronchiectasis (Non-CF BE),"
      The purpose of this study is to evaluate if the time to first pulmonary exacerbation of
      bronchiectasis or its frequency can be prolonged by inhalation of ciprofloxacin for 28 days
      every other 28 days or for 14 days every other 14 days over 48 weeks.
    ","
        Inclusion Criteria:

          -  Patients with a proven and documented diagnosis of non CF idiopathic or post
             infectious bronchiectasis

          -  Stable pulmonary status and stable regimen of standard treatment at least for the past
             4 weeks

        Exclusion Criteria:

          -  Forced expiratory volume in 1 second (FEV1) <30% or >90% predicted

          -  Active allergic bronchopulmonary aspergillosis

          -  Active and actively treated non tuberculosis mycobacterial (NTM) infection or
             tuberculosis

          -  Primary diagnosis of Chronic obstructive pulmonary disease (COPD)
      ",Completed,Bayer Study Director,Phase 3,Interventional,,RESPIRE 2,"April 30, 2014","October 19, 2016","September 13, 2016",All,18 Years,N/A,4,521
28,NCT02163642,Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,,Role of Innate Immunity in Non-Cystic Fibrosis Bronchiectasis,"
      The purpose of this study is to demonstrate that 1) the secretion of mucins, antimicrobial
      peptides and Toll-like receptors is altered in certain patients with non-CF bronchiectasis,
      which makes them more susceptible to be infected by potentially pathogenic bacteria (PPB);
      and 2) the electronic nose is able to detect patterns of specific Volatile Organic Compounds
      (VOC) for patients with non-CF bronchiectasis colonized by PPB.
    ","
        Inclusion Criteria:

          -  Diagnosis of non- CF bronchiectasis based on at least 1 lobe with bronchial dilatation
             and compatible clinical symptoms such as cough, sputum production and respiratory
             infections.

          -  Signed informed consent.

        Exclusion Criteria:

          -  Presence of exacerbation in the last 4 weeks.

          -  Antibiotic treatment in the last 4 weeks

          -  Use of oral corticosteroids in the last 4 weeks

          -  Concomitant terminal illness.

          -  Current cigarette smoking

          -  Active allergic bronchopulmonary aspergillosis

          -  Diagnosis of tuberculosis or active non-tuberculous Mycobacterial infection
      ",Unknown status,"Oriol Sibila, MD PhD",,Observational,Change from baseline in sputum mucin levels at 12 months,,April 2014,April 2018,April 2018,All,18 Years,N/A,,50
29,NCT02324855,Universidad San Jorge,Randomized,Long-term Airway Clearance Therapy in Non-cystic Fibrosis Bronchiectasis,"
      The main aim is to analyze whether the routine use of chest physiotherapy in non cystic
      fibrosis bronchiectasis (NCFB) improves the cough severity and the quality of life in this
      population. In addition, the secondary end-points include incidences of exacerbations,
      changes in lung function, exercise capacity, airways inflammation, sputum analysis and
      eventual adverse events.
    ","
        Inclusion Criteria:

          -  Chronic sputum production during at least 3 months previous enrolment

          -  At least two confirmed exacerbations during the last year

          -  Patients able to understand how to perform the airway clearance techniques

          -  Clinically stable at time of study entry (defined as no requirement for antibiotics or
             change in respiratory medication in the preceding 4 wk)

          -  To be able to provide written, informed consent

        Exclusion Criteria:

          -  Cystic Fibrosis

          -  Carry out regular chest physiotherapy.

          -  Active haemoptysis during the previous month or recurrent hemoptysis during the last
             year (more than 4 episodes)

          -  Waiting a pulmonary transplant
      ",Completed,"Beatriz Herrero, Msc",N/A,Interventional,Cough severity (Auto-administered questionnaire: Leicester Cough Questionnaire),,October 2015,June 2020,June 2020,All,18 Years,N/A,2,26
30,NCT02392663,Hospital Clinic of Barcelona,Randomized,Sputum Clearance Effects of Hypertonic Saline in Non-cystic Fibrosis Bronchiectasis,"
      This study aims to analyze whether the hypertonic saline nebulization enhances sputum
      clearance effects, reduces the impact on cough severity and their level of safety and
      tolerability in a population with non-cystic fibrosis bronchiectasis (NCFBE). In addition,
      this trial aims to compare these health outcomes among 3 nebulized solutions: hypertonic
      saline (7%); hyaluronic acid + hypertonic saline (7%); isotonic saline (0,9%).
    ","
        Inclusion Criteria:

          1. Non-cystic Fibrosis bronchiectasis (NCFBE) diagnosed by High Resolution Computed
             Tomographic

          2. Mean sputum production ≥ 10 ml /24h.

          3. Clinical stability in the last 4 weeks

          4. To be able to understand how to perform inhalation and the physiotherapy session.

          5. To be able to provide written, informed consent

        Exclusion Criteria:

          1. Forced expiratory volume in 1 second < 30% pred. ; Total lung capacity < 45% pred.

          2. Performing nebulization with any hyperosmolar agents, previously

          3. Allergic bronchopulmonary aspergillosis diagnosis

          4. Not to be able to overcome the safety test pre-intervention (oxygen saturation levels
             drop to < 90% and/or forced expiratory volume in 1 second decline more than < 12% from
             baseline during the nebulization process)
      ",Completed,"Eva Polverino, Dr.",N/A,Interventional,Wet sputum production,,March 2015,January 2016,December 2015,All,18 Years,N/A,3,24
31,NCT02411981,Cliniques universitaires Saint-Luc- Université Catholique de Louvain,N/A,Effects of Chest Physiotherapy (CPT) on Lung Clearance Index (LCI) in Non Cystic Fibrosis (CF) Bronchiectasis,"
      This study will investigate the effects of on technique of chest physiotherapy on pulmonary
      function. Effects of pulmonary function will be measured by the spirometry, body
      plethysmography and by the multiple breath nitrogen washout technique.
    ","
        Inclusion Criteria:

          -  Non cystic fibrosis bronchiectasis in stable state

        Exclusion Criteria:

          -  Not in stable state

          -  Bronchiectasis with severe respiratory morbidities likely to reduce the chest
             physiotherapy session efficacy (e.g. : severe chronic obstructive pulmonary disease)
      ",Completed,,N/A,Interventional,Change of Lung Clearance Index (LCI),,April 2015,February 2016,October 2015,All,18 Years,N/A,1,24
32,NCT02507843,"Shanghai Pulmonary Hospital, Shanghai, China",Randomized,Vitamin D as an Adjunctive Treatment in Patients With Non-Cystic Fibrosis Bronchiectasis,"
      This study evaluates vitamin D as an adjunctive treatment in patients with non-Cystic
      Fibrosis bronchiectasis, which are combined with vitamin D deficiency. Half of participants
      will receive vitamin D supplementation, while the other half will receive placebo.
    ","
        Inclusion Criteria:

          -  Diagnosis of non-Cystic fibrosis bronchiectasis by High Resolution CT

          -  Age 18 years or older

          -  Vitamin D deficiency [25(OH)D<20 ng/mL]

          -  Informed consent

        Exclusion Criteria:

          -  Current active allergic bronchopulmonary or tuberculosis

          -  Diagnosis of any of the following: sarcoidosis, hyperparathyroidism, nephrolithiasis,
             pulmonary silicosis, Human Immunodeficiency Virus infection, liver failure, renal
             failure or malignancy

          -  Taking benzothiadiazine derivative, cardiac glycoside, carbamazepine, phenobarbital,
             phenytoin or primidone

          -  Taking dietary supplement or topical preparation containing vitamin D up to 2 months
             before first dose

          -  Treatment with any investigational medical product or device up to 4 months before
             first dose

          -  Breastfeeding, pregnant or planning a pregnancy

          -  Baseline corrected serum calcium > 2.65 mmol/L

          -  Baseline serum creatinine > 125 micromol/L
      ",Unknown status,JinFu Xu,Phase 4,Interventional,Time to first acute exacerbation,VIDB,January 2015,June 2017,December 2016,All,18 Years,N/A,2,200
33,NCT02531984,Assistance Publique Hopitaux De Marseille,Randomized,The Efficacy of Azithromycin in Treating Children With Non Cystic Fibrosis Bronchiectasis,"
      Bronchiectasis is characterized by a permanent and abnormal dilatation of a part of the
      bronchial tree. An accumulation of mucus in the respiratory tract ensues, resulting in
      frequent bacterial infections and eventual destruction of the lungs. Clinically, patients
      present with a chronic productive cough and episodes of acute respiratory exacerbations.
      Chronic respiratory failure can follow. Although its prevalence is largely unknown,
      bronchiectasis is considered to be a rare and orphan disease. There are numerous causes for
      this disease: sequelae of respiratory infections, immunodeficiency, genetic diseases like
      cystic fibrosis, primary ciliary dyskinesia….The focus of this study will be on non cystic
      fibrosis bronchiectasis in children.

      Due to a lack of pediatric clinical trials, the management of children with this disease is
      widely based on the management of adults or patients with cystic fibrosis or
      pan-bronchiolitis. The treatment is based on respiratory physiotherapy, prevention of
      infections, administration of inhaled corticosteroids and anti biotherapy for acute
      exacerbations.

      Recently, some studies have demonstrated the efficacy of a family of antibiotics, the
      macrolides, in the treatment of cystic fibrosis or pan-bronchiolitis in children. Indeed,
      taken 3 times a week during a long period of time, the macrolides, and specifically the
      azithromycin have shown some anti-inflammatory and tissue repairing properties, in addition
      to their antimicrobial properties.

      Moreover, several studies conducted in the adult population have shown that the use of
      azithromycin has led to significant reduction in the frequency of respiratory exacerbations
      as well as an improvement in the quality of life.

      The efficacy of azithromycin in these respiratory diseases has led to enlarge its use for the
      long term treatment of bronchiectasis. Yet, this type of treatment has no marketing
      authorization application.

      No studies have been conducted in children, but individual examination of patients with
      bronchiectasis treated with azithromycin suggests an improvement of their symptoms.

      Thus, the use of azithromycin in the treatment of bronchiectasis in children seems to be a
      promising therapy. However, its efficacy needs to be demonstrated by clinical trials led on a
      pediatric population with an adequate number of patients and a strong methodology in order to
      ensure validity and reliability of the results.

      Therefore the investigators decided to conduct a comparative, prospective multicenter
      randomized study in this population.

      This study intends to include 100 patients already treated by azithromycin for at least 6
      months. After inclusion, they will be randomized in two groups of 50 patients each. The first
      group will continue the treatment and the other one will discontinue it.

      The patients will be followed from the inclusion period (M0) until the onset of the first
      exacerbation for a maximum of 6 months (M6), with an intermediate health care visit after 3
      months (M3).

      In case of exacerbation, a health care visit will be scheduled; the patient will receive the
      appropriate treatment and he will be suspended from the study.

      The duration of follow up for each patient is dictated by the occurrence of the first
      respiratory exacerbation, a maximum of 6 months .The total inclusion period is 12 months and
      the total duration of the study is 18 months.
    ","
        Inclusion Criteria:

          -  Presenting with non cystic fibrosis bronchiectasis documented by chest CT scan ,
             diagnosed since at least 2 years

          -  Already treated with azithromycin for at least 6 months

          -  Presented no respiratory exacerbation since one month

          -  Benefit from health insurance

          -  Have signed a consent (if appropriate age )

          -  Parents or legal guardian have given their written consent

        Exclusion Criteria:

          -  Patients presenting a history of allergic reaction to azithromycin, érythromycine,
             another macrolide or Ketolide or an excipient of Zithromax

          -  Patients treated with dihydroergotamine or ergotamine , cisapride, colchicine

          -  Patients presenting severe hepatic failure

          -  Patients who are unlikely to adhere to the protocol and hence participate in the
             entire study ( as judged by the investigator )

          -  Patients who have not signed the protocol

          -  Patients whose parents are unable to understand the purpose and conditions of the
             study or are unable to give their consent.

          -  Patients already included in another clinical trial or are in an exclusion period from
             a previous clinical trial

          -  Patients whose ECG shows a QTc > 450 msec ( Zithromax is contraindicated )
      ",Unknown status,Urielle DESALBRES,Phase 3,Interventional,Time of onset of the first respiratory exacerbation in the two groups of patients: those who continued treatment with azithromycin and those who stopped the treatment,AZI-STOP,August 2015,August 2018,August 2017,All,3 Years,17 Years,2,100
34,NCT02563197,Bayer,N/A,Inhalation Flow Rate-study,"
      Study should show feasibility of the device for drug delivery into the lung independently of
      the severity of impaired lung function.
    ","
        Inclusion Criteria:

          -  Established diagnosis of non-cystic fibrosis bronchiectasis, confirmed and documented
             by high resolution computed tomography (HRCT) or magnetic resonance tomography (MRT)

          -  Ability to reproducibly perform spirometry according to American Thoracic
             Society/European Respiratory Society criteria

          -  Clinically stable in the opinion of the investigator at the time of the study visit.

          -  Male and female patients ≥ 18 years of age.

        Exclusion Criteria:

          -  Pulmonary exacerbation (as judged by the investigator, based on the clinical condition
             of the subject and taking into account e.g., febrile infection of the lung, relevant
             decrease in Forced expiratory volume in the first second (FEV1) value, increased
             sputum production, sputum purulence, recent hospitalization) at study visit or within
             the preceding six (6) weeks.

          -  History of lung transplant.

          -  Recent significant hemoptysis (≥ 300 mL or requiring blood transfusion) in the
             preceding six (6) weeks before screening.

          -  Established diagnosis of bronchial asthma.

          -  Established diagnosis of cystic fibrosis.

          -  Proof of any relevant medical finding or disease in the last three (3) months which
             might interfere with participation in the study or patient safety (e.g. pneumothorax,
             uncontrolled hypertension, uncontrolled cardiac arrhythmia, myocardial infarction,
             cerebral vascular accident).

          -  A relevant disease that is considered to interfere with the study results is any
             disease that, except for the impairment of lung function, interferes with the
             patient's ability to inhale from the device. For example, COPD per se is usually not
             considered as a reason for patient exclusion, unless coughing or obliteration of the
             upper airways with sputum interferes with the patient's ability to inhale from the
             device.

          -  Relevant surgical history in the last 3 months (e.g., but not limited to abdominal,
             thoracic, ocular or brain surgery).

          -  History or evidence of lung resection, thoracotomy, known aneurysm and severe
             scoliosis.

          -  Pregnancy.
      ",Completed,Bayer Study Director,Phase 1,Interventional,Peak inspiratory flow (L/min),,"November 23, 2015","April 29, 2016","February 17, 2016",All,18 Years,N/A,1,33
35,NCT02614300,Hospital Clinic of Barcelona,Randomized,The Role of Pulmonary Rehabilitation and Airways Clearance Techniques in the Multidisciplinary Management of Non CF Bronchiectasis,"
      Pulmonary rehabilitation programs are part of the multidisciplinary treatment of some chronic
      respiratory diseases such as COPD (chronic obstructive pulmonary disease). Although clinical
      guidelines of other diseases such as non-cystic fibrosis bronchiectasis (nCFBE) discuss the
      benefits of these programs in quality of life and exercise tolerance, evidence of such
      intervention in nCFBE patients is insufficient. Longer studies are needed with larger sample
      sizes and optimized to maximize the response and maintain long-term benefits. The present
      study aims to examine the effects in exercise tolerance of a pulmonary rehabilitation program
      combined with respiratory physiotherapy in patients with nCFBE. It is a randomized controlled
      clinical trial with a total duration of 24 months. The intervention will be performed during
      12 weeks and then will be a period of 12 months of maintenance. This is a multicenter study
      involving the following Hospitals: Hospital Clinic, Hospital la Plató and Hospital del Mar of
      Barcelona, Hospital Josep Trueta of Girona, Royal Infirmary of Edinburgh and Fondazione
      Maugeri di Lumezzane of Italy. Subjects will be randomized into three groups in a ratio (1:
      1: 1) (1) Pulmonary Rehabilitation (2) Chest Physiotherapy and (3) Pulmonary Rehabilitation +
      Chest Physiotherapy. Hospital la Plató from Barcelona will be responsible for carrying out
      the Control Group. The primary endpoint will be the test of ""endurance shuttle walk test"".
    ","
        Inclusion Criteria:

          -  Aged between 50-80 years;

          -  No performing regular physiotherapy treatment or physical training (≤ 1 time/week);

          -  Stable disease [no changes in the chronic therapy (both inhaled and systematic) in the
             usual respiratory symptoms (according to the medical evaluation) and spirometry in the
             last 4 weeks prior to study recruitment];

          -  Regular cough and expectoration;

          -  Ability to follow the exercise program;

          -  Ability to perform all clinical tests, to understand the process and the purposes of
             the study;

          -  A history of at least 2 exacerbations during the previous year requiring antibiotic
             treatment and;

          -  Signed informed consent.

        Exclusion Criteria:

          -  Active smokers, ex-smokers of less than 1 year prior to recruitment and/or a history
             of >20 smoking packs/year;

          -  FEV1 <30% or/and TLC<40% ;

          -  Diagnosis of cystic fibrosis, sarcoidosis, pulmonary fibrosis, active tuberculosis or
             non tuberculosis mycobacterial infection,

          -  Diagnosis of asthma or COPD as a primary respiratory disease and associated secondary
             bronchiectasis,

          -  Patients with unstable cardiac disease or locomotor difficulties that preclude
             exercise (eg, severe arthritis or severe peripheral vascular disease);

          -  Chronic respiratory failure and/or oxygen therapy;

          -  Frequent haemoptysis (≥ 2 times/month);

          -  Participation in a PR program during the year prior to inclusion or during the study
             protocol;

          -  Participation in a CP program during 1 month prior to inclusion;

          -  Any physical and psychological disorder that interferes with protocol compliance;

          -  Participation in a clinical trial implying any change in usual pharmacological
             treatment in the last 6 months before recruitment;

          -  Being on the waiting list for lung transplantation or have been transplanted.
      ",Unknown status,,N/A,Interventional,Change from Baseline Exercise tolerance capacity measured as the distance walked in meters during the shuttle test at constant speed (ESWT) at 12 weeks.,,November 2015,,December 2017,All,50 Years,80 Years,4,120
36,NCT02625246,Marilyn Glassberg,Non-Randomized,Safety and Potential Efficacy of Human Mesenchymal Stem Cells in Non-Cystic Fibrosis Bronchiectasis,"
      To demonstrate the safety of bone marrow-derived allogeneic human Mesenchymal Stem Cells
      (hMSCs) in patients with bronchiectasis receiving standard of care therapy, and to explore
      treatment efficacy
    ","
        Inclusion Criteria:

          -  Provide written informed consent,

          -  be between 30 and 87 years old at the time of signing the Informed Consent,

          -  weight over 45 and under 150 kg,

          -  have a clinical diagnosis of non-CF bronchiectasis prior to screening,

          -  Have had at least 2 exacerbations in the past year as documented by physician office
             or hospital visits (Use of antibiotics of at least one time in the last year),

          -  Show a baseline FEV1 between 25% and 85% predicted and over or equal to 1 L and a
             baseline diffusion capacity of lung for carbon monoxide (DLCO) over or equal to 30%
             (corrected for hemoglobin but not alveolar volume),

          -  Have a normal Right Ventricular function, as documented by Doppler echo or right heart
             catheterization,

          -  if a female of childbearing potential, agree to abide by contraception rules defined
             below.

          -  Subjects may receive nondrug therapies including oxygen supplementation not greater
             than 4 Liters per minute and pulmonary rehabilitation.

          -  Subjects may be on chronic macrolide or inhaled antibiotic treatment bronchiectasis

        Exclusion Criteria:

          -  Have HRCT and or surgical lung biopsy results inconsistent with the diagnosis of
             non-CF bronchiectasis. (Exclusion of emphysema and or diffuse parenchymal disease)

          -  be unable to perform any of the assessments required for endpoint analysis (report
             safety or tolerability concerns, perform Pulmonary Function Tests (PFT) or HRCT,
             undergo blood draws, read and respond to questionnaire

          -  If a female of childbearing potential, have a follicle stimulating hormone (FSH) under
             25.8 IU/L

          -  be actively treated for an acute infectious exacerbation of bronchiectasis

          -  Have an active infection that is not treated

          -  Have had active infections occurring within a minimum of 4 weeks of study treatment

          -  Be currently on treatment for NTM infections

          -  Have had positive sputum cultures for nontuberculous mycobacterial (NTM) within the
             past 6 months

          -  Have a history of drug or alcohol abuse within the past 24 months.

          -  Be currently receiving (or have received within four weeks of screening) experimental
             agents for the treatment of bronchiectasis or have been enrolled in clinical trials
             within the previous 30 days

          -  Be actively listed (or expect future listing) for transplant of any organ.

          -  Have clinically important abnormal screening laboratory values.

          -  Have a serious comorbid illness that, in the opinion of the investigator, may
             compromise the safety or compliance of the patient or preclude successful completion
             of the study.

          -  Have any other condition that, in the opinion of the investigator, may compromise the
             safety or compliance of the patient or preclude successful completion of the study.

          -  Have known allergies to penicillin or streptomycin.

          -  Be an organ transplant recipient.

          -  Have a clinical history of malignancy within 5 years (i.e., patients with prior
             malignancy must be disease free for 5 years), except curatively-treated basal cell
             carcinoma of skin, squamous cell carcinoma of skin, or cervical carcinoma.

          -  Have a non-pulmonary condition that limits lifespan to less than 1 year.

          -  Be serum positive for HIV, hepatitis BsAg (surface agent reactive) or Viremic
             hepatitis C.

          -  Have hypersensitivity to dimethyl sulfoxide (DMSO)

          -  Be unable to maintain saturated oxygen (SpO2) of more than 93% on room air at sea
             level at rest) or an SpO2 of more than 88% on room air over 5,000 feet (1524 meters)
             above sea level at rest.
      ",Completed,"Glassberg K Marilyn, MD",Phase 1,Interventional,Number of Participant with treatment emergent serious adverse events,CELEB,"February 4, 2016","May 15, 2019","May 15, 2019",All,30 Years,87 Years,2,6
37,NCT02657473,Medical Center Alkmaar,Randomized,Inhaled Nebulized Tobramycin in Non-cystic Fibrosis Bronchiectasis,"
      The purpose of this study is to evaluate the effect of tobramycin inhalation solution (TIS)
      once daily compared tot placebo in patients with non-CF bronchiectasis. The primary endpoint
      is a reduction of exacerbations of the disease during the treatment period. Next to this
      parameter the investigators expect to show a significant beneficial effect on lung function
      parameters, QoL, bacterial load of pathogens in sputum and tobramycin resistance.
    ","
        Inclusion Criteria:

          1. Age ≥ 18 years

          2. The presence of chronic respiratory symptoms such as cough, dyspnoea, expectoration of
             sputum

          3. Confirmed non-CF bronchiectasis by (HR)CT

          4. Documented history of at least 2 pulmonary exacerbations treated with courses of
             antibiotics within 12 months before inclusion.

          5. No course of antibiotics or maintenance antibiotics (except for macrolides) 1 month
             prior to the start of the study.

          6. Minimal one documented sputum or BAL-fluid culture with gram-negative bacteria or
             S.aureus within 12 months.

          7. Growth of protocol defined pathogens in sputum at screening visit sensitive to
             tobramycin

          8. Tolerance of inhaled tobramycin

        Exclusion Criteria:

          1. Any exacerbation within the month prior to the start of the study

          2. Diagnosis of cystic fibrosis

          3. Active allergic bronchopulmonary aspergillosis (ABPA)

          4. Any oral, IV or inhaled antibiotics (except for macrolides) within 1 month prior to
             the start of the study

          5. Any IV or IM corticosteroids or change in oral corticosteroids (> 10 mg) within 1
             month prior to the start of the study

          6. Any change/start treatment regimens macrolides, hypertonic saline, inhaled mannitol or
             other mucolytics, corticosteroids within 1 month prior to the start of the study

          7. Change in physiotherapy technique or schedule within 1 month prior to the start of the
             study

          8. Severe immunosuppression or active malignancy

          9. Active tuberculosis

         10. Chronic renal insufficiency (eGFR < 30 ml/min), use of loop diuretics

         11. Have received an investigational drug or device within 1 month prior to the start of
             the study

         12. Serious or active medical or psychiatric illness

         13. Pregnancy and child bearing

         14. History of poor cooperation or non-compliance

         15. Unable to use nebulizers

         16. Allergic for tobramycin
      ",Completed,"Wim G. Boersma, Dr.MD",Phase 2/Phase 3,Interventional,Number of exacerbations,BATTLE,"August 13, 2016","December 13, 2019","December 13, 2019",All,18 Years,N/A,2,58
